0 1 2 
568 569 601 
601 600 568 
601 602 634 
634 633 601 
634 635 667 
667 666 634 
667 668 700 
700 699 667 
700 701 733 
733 732 700 
733 734 766 
766 765 733 
766 767 799 
799 798 766 
799 800 832 
832 831 799 
832 833 865 
865 864 832 
865 866 898 
898 897 865 
898 899 931 
931 930 898 
931 932 964 
964 963 931 
964 965 997 
997 996 964 
997 998 1030 
1030 1029 997 
1030 1031 1063 
1063 1062 1030 
8 9 41 
41 40 8 
41 42 74 
74 73 41 
74 75 107 
107 106 74 
107 108 140 
140 139 107 
140 141 173 
173 172 140 
173 174 206 
206 205 173 
206 207 239 
239 238 206 
239 240 272 
272 271 239 
272 273 305 
305 304 272 
305 306 338 
338 337 305 
338 339 371 
371 370 338 
371 372 404 
404 403 371 
404 405 437 
437 436 404 
437 438 470 
470 469 437 
470 471 503 
503 502 470 
503 504 536 
536 535 503 
536 537 569 
569 568 536 
569 570 602 
602 601 569 
602 603 635 
635 634 602 
635 636 668 
668 667 635 
668 669 701 
701 700 668 
701 702 734 
734 733 701 
734 735 767 
767 766 734 
767 768 800 
800 799 767 
800 801 833 
833 832 800 
833 834 866 
866 865 833 
866 867 899 
899 898 866 
899 900 932 
932 931 899 
932 933 965 
965 964 932 
965 966 998 
998 997 965 
998 999 1031 
1031 1030 998 
1031 1032 1064 
1064 1063 1031 
9 10 42 
42 41 9 
42 43 75 
75 74 42 
75 76 108 
108 107 75 
108 109 141 
141 140 108 
141 142 174 
174 173 141 
174 175 207 
207 206 174 
207 208 240 
240 239 207 
240 241 273 
273 272 240 
273 274 306 
306 305 273 
306 307 339 
339 338 306 
339 340 372 
372 371 339 
372 373 405 
405 404 372 
405 406 438 
438 437 405 
438 439 471 
471 470 438 
471 472 504 
504 503 471 
504 505 537 
537 536 504 
537 538 570 
570 569 537 
570 571 603 
603 602 570 
603 604 636 
636 635 603 
636 637 669 
669 668 636 
669 670 702 
702 701 669 
702 703 735 
735 734 702 
735 736 768 
768 767 735 
768 769 801 
801 800 768 
801 802 834 
834 833 801 
834 835 867 
867 866 834 
867 868 900 
900 899 867 
900 901 933 
933 932 900 
933 934 966 
966 965 933 
966 967 999 
999 998 966 
999 1000 1032 
1032 1031 999 
1032 1033 1065 
1065 1064 1032 
10 11 43 
43 42 10 
43 44 76 
76 75 43 
76 77 109 
109 108 76 
109 110 142 
142 141 109 
142 143 175 
175 174 142 
175 176 208 
208 207 175 
208 209 241 
241 240 208 
241 242 274 
274 273 241 
274 275 307 
307 306 274 
307 308 340 
340 339 307 
340 341 373 
373 372 340 
373 374 406 
406 405 373 
406 407 439 
439 438 406 
439 440 472 
472 471 439 
472 473 505 
505 504 472 
505 506 538 
538 537 505 
538 539 571 
571 570 538 
571 572 604 
604 603 571 
604 605 637 
637 636 604 
637 638 670 
670 669 637 
670 671 703 
703 702 670 
703 704 736 
736 735 703 
736 737 769 
769 768 736 
769 770 802 
802 801 769 
802 803 835 
835 834 802 
835 836 868 
868 867 835 
868 869 901 
901 900 868 
901 902 934 
934 933 901 
934 935 967 
967 966 934 
967 968 1000 
1000 999 967 
1000 1001 1033 
1033 1032 1000 
1033 1034 1066 
1066 1065 1033 
11 12 44 
44 43 11 
44 45 77 
77 76 44 
77 78 110 
110 109 77 
110 111 143 
143 142 110 
143 144 176 
176 175 143 
176 177 209 
209 208 176 
209 210 242 
242 241 209 
242 243 275 
275 274 242 
275 276 308 
308 307 275 
308 309 341 
341 340 308 
341 342 374 
374 373 341 
374 375 407 
407 406 374 
407 408 440 
440 439 407 
440 441 473 
473 472 440 
473 474 506 
506 505 473 
506 507 539 
539 538 506 
539 540 572 
572 571 539 
572 573 605 
605 604 572 
605 606 638 
638 637 605 
638 639 671 
671 670 638 
671 672 704 
704 703 671 
704 705 737 
737 736 704 
737 738 770 
770 769 737 
770 771 803 
803 802 770 
803 804 836 
836 835 803 
836 837 869 
869 868 836 
869 870 902 
902 901 869 
902 903 935 
935 934 902 
935 936 968 
968 967 935 
968 969 1001 
1001 1000 968 
1001 1002 1034 
1034 1033 1001 
1034 1035 1067 
1067 1066 1034 
12 13 45 
45 44 12 
45 46 78 
78 77 45 
78 79 111 
111 110 78 
111 112 144 
144 143 111 
144 145 177 
177 176 144 
177 178 210 
210 209 177 
210 211 243 
243 242 210 
243 244 276 
276 275 243 
276 277 309 
309 308 276 
309 310 342 
342 341 309 
342 343 375 
375 374 342 
375 376 408 
408 407 375 
408 409 441 
441 440 408 
441 442 474 
474 473 441 
474 475 507 
507 506 474 
507 508 540 
540 539 507 
540 541 573 
573 572 540 
573 574 606 
606 605 573 
606 607 639 
639 638 606 
639 640 672 
672 671 639 
672 673 705 
705 704 672 
705 706 738 
738 737 705 
738 739 771 
771 770 738 
771 772 804 
804 803 771 
804 805 837 
837 836 804 
837 838 870 
870 869 837 
870 871 903 
903 902 870 
903 904 936 
936 935 903 
936 937 969 
969 968 936 
969 970 1002 
1002 1001 969 
1002 1003 1035 
1035 1034 1002 
1035 1036 1068 
1068 1067 1035 
13 14 46 
46 45 13 
46 47 79 
79 78 46 
79 80 112 
112 111 79 
112 113 145 
145 144 112 
145 146 178 
178 177 145 
178 179 211 
211 210 178 
211 212 244 
244 243 211 
244 245 277 
277 276 244 
277 278 310 
310 309 277 
310 311 343 
343 342 310 
343 344 376 
376 375 343 
376 377 409 
409 408 376 
409 410 442 
442 441 409 
442 443 475 
475 474 442 
475 476 508 
508 507 475 
508 509 541 
541 540 508 
541 542 574 
574 573 541 
574 575 607 
607 606 574 
607 608 640 
640 639 607 
640 641 673 
673 672 640 
673 674 706 
706 705 673 
706 707 739 
739 738 706 
739 740 772 
772 771 739 
772 773 805 
805 804 772 
805 806 838 
838 837 805 
838 839 871 
871 870 838 
871 872 904 
904 903 871 
904 905 937 
937 936 904 
937 938 970 
970 969 937 
970 971 1003 
1003 1002 970 
1003 1004 1036 
1036 1035 1003 
1036 1037 1069 
1069 1068 1036 
14 15 47 
47 46 14 
47 48 80 
80 79 47 
80 81 113 
113 112 80 
113 114 146 
146 145 113 
146 147 179 
179 178 146 
179 180 212 
212 211 179 
212 213 245 
245 244 212 
245 246 278 
278 277 245 
278 279 311 
311 310 278 
311 312 344 
344 343 311 
344 345 377 
377 376 344 
377 378 410 
410 409 377 
410 411 443 
443 442 410 
443 444 476 
476 475 443 
476 477 509 
509 508 476 
509 510 542 
542 541 509 
542 543 575 
575 574 542 
575 576 608 
608 607 575 
608 609 641 
641 640 608 
641 642 674 
674 673 641 
674 675 707 
707 706 674 
707 708 740 
740 739 707 
740 741 773 
773 772 740 
773 774 806 
806 805 773 
806 807 839 
839 838 806 
839 840 872 
872 871 839 
872 873 905 
905 904 872 
905 906 938 
938 937 905 
938 939 971 
971 970 938 
971 972 1004 
1004 1003 971 
1004 1005 1037 
1037 1036 1004 
1037 1038 1070 
1070 1069 1037 
15 16 48 
48 47 15 
48 49 81 
81 80 48 
81 82 114 
114 113 81 
114 115 147 
147 146 114 
147 148 180 
180 179 147 
180 181 213 
213 212 180 
213 214 246 
246 245 213 
246 247 279 
279 278 246 
279 280 312 
312 311 279 
312 313 345 
345 344 312 
345 346 378 
378 377 345 
378 379 411 
411 410 378 
411 412 444 
444 443 411 
444 445 477 
477 476 444 
477 478 510 
510 509 477 
510 511 543 
543 542 510 
543 544 576 
576 575 543 
576 577 609 
609 608 576 
609 610 642 
642 641 609 
642 643 675 
675 674 642 
675 676 708 
708 707 675 
708 709 741 
741 740 708 
741 742 774 
774 773 741 
774 775 807 
807 806 774 
807 808 840 
840 839 807 
840 841 873 
873 872 840 
873 874 906 
906 905 873 
906 907 939 
939 938 906 
939 940 972 
972 971 939 
972 973 1005 
1005 1004 972 
1005 1006 1038 
1038 1037 1005 
1038 1039 1071 
1071 1070 1038 
16 17 49 
49 48 16 
49 50 82 
82 81 49 
82 83 115 
115 114 82 
115 116 148 
148 147 115 
148 149 181 
181 180 148 
181 182 214 
214 213 181 
214 215 247 
247 246 214 
247 248 280 
280 279 247 
280 281 313 
313 312 280 
313 314 346 
346 345 313 
346 347 379 
379 378 346 
379 380 412 
412 411 379 
412 413 445 
445 444 412 
445 446 478 
478 477 445 
478 479 511 
511 510 478 
511 512 544 
544 543 511 
544 545 577 
577 576 544 
577 578 610 
610 609 577 
610 611 643 
643 642 610 
643 644 676 
676 675 643 
676 677 709 
709 708 676 
709 710 742 
742 741 709 
742 743 775 
775 774 742 
775 776 808 
808 807 775 
808 809 841 
841 840 808 
841 842 874 
874 873 841 
874 875 907 
907 906 874 
907 908 940 
940 939 907 
940 941 973 
973 972 940 
973 974 1006 
1006 1005 973 
1006 1007 1039 
1039 1038 1006 
1039 1040 1072 
1072 1071 1039 
17 18 50 
50 49 17 
50 51 83 
83 82 50 
83 84 116 
116 115 83 
116 117 149 
149 148 116 
149 150 182 
182 181 149 
182 183 215 
215 214 182 
215 216 248 
248 247 215 
248 249 281 
281 280 248 
281 282 314 
314 313 281 
314 315 347 
347 346 314 
347 348 380 
380 379 347 
380 381 413 
413 412 380 
413 414 446 
446 445 413 
446 447 479 
479 478 446 
479 480 512 
512 511 479 
512 513 545 
545 544 512 
545 546 578 
578 577 545 
578 579 611 
611 610 578 
611 612 644 
644 643 611 
644 645 677 
677 676 644 
677 678 710 
710 709 677 
710 711 743 
743 742 710 
743 744 776 
776 775 743 
776 777 809 
809 808 776 
809 810 842 
842 841 809 
842 843 875 
875 874 842 
875 876 908 
908 907 875 
908 909 941 
941 940 908 
941 942 974 
974 973 941 
974 975 1007 
1007 1006 974 
1007 1008 1040 
1040 1039 1007 
1040 1041 1073 
1073 1072 1040 
18 19 51 
51 50 18 
51 52 84 
84 83 51 
84 85 117 
117 116 84 
117 118 150 
150 149 117 
150 151 183 
183 182 150 
183 184 216 
216 215 183 
216 217 249 
249 248 216 
249 250 282 
282 281 249 
282 283 315 
315 314 282 
315 316 348 
348 347 315 
348 349 381 
381 380 348 
381 382 414 
414 413 381 
414 415 447 
447 446 414 
447 448 480 
480 479 447 
480 481 513 
513 512 480 
513 514 546 
546 545 513 
546 547 579 
579 578 546 
579 580 612 
612 611 579 
612 613 645 
645 644 612 
645 646 678 
678 677 645 
678 679 711 
711 710 678 
711 712 744 
744 743 711 
744 745 777 
777 776 744 
777 778 810 
810 809 777 
810 811 843 
843 842 810 
843 844 876 
876 875 843 
876 877 909 
909 908 876 
909 910 942 
942 941 909 
942 943 975 
975 974 942 
975 976 1008 
1008 1007 975 
1008 1009 1041 
1041 1040 1008 
1041 1042 1074 
1074 1073 1041 
19 20 52 
52 51 19 
52 53 85 
85 84 52 
85 86 118 
118 117 85 
118 119 151 
151 150 118 
151 152 184 
184 183 151 
184 185 217 
217 216 184 
217 218 250 
250 249 217 
250 251 283 
283 282 250 
283 284 316 
316 315 283 
316 317 349 
349 348 316 
349 350 382 
382 381 349 
382 383 415 
415 414 382 
415 416 448 
448 447 415 
448 449 481 
481 480 448 
481 482 514 
514 513 481 
514 515 547 
547 546 514 
547 548 580 
580 579 547 
580 581 613 
613 612 580 
613 614 646 
646 645 613 
646 647 679 
679 678 646 
679 680 712 
712 711 679 
712 713 745 
745 744 712 
745 746 778 
778 777 745 
778 779 811 
811 810 778 
811 812 844 
844 843 811 
844 845 877 
877 876 844 
877 878 910 
910 909 877 
910 911 943 
943 942 910 
943 944 976 
976 975 943 
976 977 1009 
1009 1008 976 
1009 1010 1042 
1042 1041 1009 
1042 1043 1075 
1075 1074 1042 
20 21 53 
53 52 20 
53 54 86 
86 85 53 
86 87 119 
119 118 86 
119 120 152 
152 151 119 
152 153 185 
185 184 152 
185 186 218 
218 217 185 
218 219 251 
251 250 218 
251 252 284 
284 283 251 
284 285 317 
317 316 284 
317 318 350 
350 349 317 
350 351 383 
383 382 350 
383 384 416 
416 415 383 
416 417 449 
449 448 416 
449 450 482 
482 481 449 
482 483 515 
515 514 482 
515 516 548 
548 547 515 
548 549 581 
581 580 548 
581 582 614 
614 613 581 
614 615 647 
647 646 614 
647 648 680 
680 679 647 
680 681 713 
713 712 680 
713 714 746 
746 745 713 
746 747 779 
779 778 746 
779 780 812 
812 811 779 
812 813 845 
845 844 812 
845 846 878 
878 877 845 
878 879 911 
911 910 878 
911 912 944 
944 943 911 
944 945 977 
977 976 944 
977 978 1010 
1010 1009 977 
1010 1011 1043 
1043 1042 1010 
1043 1044 1076 
1076 1075 1043 
21 22 54 
54 53 21 
54 55 87 
87 86 54 
87 88 120 
120 119 87 
120 121 153 
153 152 120 
153 154 186 
186 185 153 
186 187 219 
219 218 186 
219 220 252 
252 251 219 
252 253 285 
285 284 252 
285 286 318 
318 317 285 
318 319 351 
351 350 318 
351 352 384 
384 383 351 
384 385 417 
417 416 384 
417 418 450 
450 449 417 
450 451 483 
483 482 450 
483 484 516 
516 515 483 
516 517 549 
549 548 516 
549 550 582 
582 581 549 
582 583 615 
615 614 582 
615 616 648 
648 647 615 
648 649 681 
681 680 648 
681 682 714 
714 713 681 
714 715 747 
747 746 714 
747 748 780 
780 779 747 
780 781 813 
813 812 780 
813 814 846 
846 845 813 
846 847 879 
879 878 846 
879 880 912 
912 911 879 
912 913 945 
945 944 912 
945 946 978 
978 977 945 
978 979 1011 
1011 1010 978 
1011 1012 1044 
1044 1043 1011 
1044 1045 1077 
1077 1076 1044 
22 23 55 
55 54 22 
55 56 88 
88 87 55 
88 89 121 
121 120 88 
121 122 154 
154 153 121 
154 155 187 
187 186 154 
187 188 220 
220 219 187 
220 221 253 
253 252 220 
253 254 286 
286 285 253 
286 287 319 
319 318 286 
319 320 352 
352 351 319 
352 353 385 
385 384 352 
385 386 418 
418 417 385 
418 419 451 
451 450 418 
451 452 484 
484 483 451 
484 485 517 
517 516 484 
517 518 550 
550 549 517 
550 551 583 
583 582 550 
583 584 616 
616 615 583 
616 617 649 
649 648 616 
649 650 682 
682 681 649 
682 683 715 
715 714 682 
715 716 748 
748 747 715 
748 749 781 
781 780 748 
781 782 814 
814 813 781 
814 815 847 
847 846 814 
847 848 880 
880 879 847 
880 881 913 
913 912 880 
913 914 946 
946 945 913 
946 947 979 
979 978 946 
979 980 1012 
1012 1011 979 
1012 1013 1045 
1045 1044 1012 
1045 1046 1078 
1078 1077 1045 
23 24 56 
56 55 23 
56 57 89 
89 88 56 
89 90 122 
122 121 89 
122 123 155 
155 154 122 
155 156 188 
188 187 155 
188 189 221 
221 220 188 
221 222 254 
254 253 221 
254 255 287 
287 286 254 
287 288 320 
320 319 287 
320 321 353 
353 352 320 
353 354 386 
386 385 353 
386 387 419 
419 418 386 
419 420 452 
452 451 419 
452 453 485 
485 484 452 
485 486 518 
518 517 485 
518 519 551 
551 550 518 
551 552 584 
584 583 551 
584 585 617 
617 616 584 
617 618 650 
650 649 617 
650 651 683 
683 682 650 
683 684 716 
716 715 683 
716 717 749 
749 748 716 
749 750 782 
782 781 749 
782 783 815 
815 814 782 
815 816 848 
848 847 815 
848 849 881 
881 880 848 
881 882 914 
914 913 881 
914 915 947 
947 946 914 
947 948 980 
980 979 947 
980 981 1013 
1013 1012 980 
1013 1014 1046 
1046 1045 1013 
1046 1047 1079 
1079 1078 1046 
24 25 57 
57 56 24 
57 58 90 
90 89 57 
90 91 123 
123 122 90 
123 124 156 
156 155 123 
156 157 189 
189 188 156 
189 190 222 
222 221 189 
222 223 255 
255 254 222 
255 256 288 
288 287 255 
288 289 321 
321 320 288 
321 322 354 
354 353 321 
354 355 387 
387 386 354 
387 388 420 
420 419 387 
420 421 453 
453 452 420 
453 454 486 
486 485 453 
486 487 519 
519 518 486 
519 520 552 
552 551 519 
552 553 585 
585 584 552 
585 586 618 
618 617 585 
618 619 651 
651 650 618 
651 652 684 
684 683 651 
684 685 717 
717 716 684 
717 718 750 
750 749 717 
750 751 783 
783 782 750 
783 784 816 
816 815 783 
816 817 849 
849 848 816 
849 850 882 
882 881 849 
882 883 915 
915 914 882 
915 916 948 
948 947 915 
948 949 981 
981 980 948 
981 982 1014 
1014 1013 981 
1014 1015 1047 
1047 1046 1014 
1047 1048 1080 
1080 1079 1047 
25 26 58 
58 57 25 
58 59 91 
91 90 58 
91 92 124 
124 123 91 
124 125 157 
157 156 124 
157 158 190 
190 189 157 
190 191 223 
223 222 190 
223 224 256 
256 255 223 
256 257 289 
289 288 256 
289 290 322 
322 321 289 
322 323 355 
355 354 322 
355 356 388 
388 387 355 
388 389 421 
421 420 388 
421 422 454 
454 453 421 
454 455 487 
487 486 454 
487 488 520 
520 519 487 
520 521 553 
553 552 520 
553 554 586 
586 585 553 
586 587 619 
619 618 586 
619 620 652 
652 651 619 
652 653 685 
685 684 652 
685 686 718 
718 717 685 
718 719 751 
751 750 718 
751 752 784 
784 783 751 
784 785 817 
817 816 784 
817 818 850 
850 849 817 
850 851 883 
883 882 850 
883 884 916 
916 915 883 
916 917 949 
949 948 916 
949 950 982 
982 981 949 
982 983 1015 
1015 1014 982 
1015 1016 1048 
1048 1047 1015 
1048 1049 1081 
1081 1080 1048 
26 27 59 
59 58 26 
59 60 92 
92 91 59 
92 93 125 
125 124 92 
125 126 158 
158 157 125 
158 159 191 
191 190 158 
191 192 224 
224 223 191 
224 225 257 
257 256 224 
257 258 290 
290 289 257 
290 291 323 
323 322 290 
323 324 356 
356 355 323 
356 357 389 
389 388 356 
389 390 422 
422 421 389 
422 423 455 
455 454 422 
455 456 488 
488 487 455 
488 489 521 
521 520 488 
521 522 554 
554 553 521 
554 555 587 
587 586 554 
587 588 620 
620 619 587 
620 621 653 
653 652 620 
653 654 686 
686 685 653 
686 687 719 
719 718 686 
719 720 752 
752 751 719 
752 753 785 
785 784 752 
785 786 818 
818 817 785 
818 819 851 
851 850 818 
851 852 884 
884 883 851 
884 885 917 
917 916 884 
917 918 950 
950 949 917 
950 951 983 
983 982 950 
983 984 1016 
1016 1015 983 
1016 1017 1049 
1049 1048 1016 
1049 1050 1082 
1082 1081 1049 
27 28 60 
60 59 27 
60 61 93 
93 92 60 
93 94 126 
126 125 93 
126 127 159 
159 158 126 
159 160 192 
192 191 159 
192 193 225 
225 224 192 
225 226 258 
258 257 225 
258 259 291 
291 290 258 
291 292 324 
324 323 291 
324 325 357 
357 356 324 
357 358 390 
390 389 357 
390 391 423 
423 422 390 
423 424 456 
456 455 423 
456 457 489 
489 488 456 
489 490 522 
522 521 489 
522 523 555 
555 554 522 
555 556 588 
588 587 555 
588 589 621 
621 620 588 
621 622 654 
654 653 621 
654 655 687 
687 686 654 
687 688 720 
720 719 687 
720 721 753 
753 752 720 
753 754 786 
786 785 753 
786 787 819 
819 818 786 
819 820 852 
852 851 819 
852 853 885 
885 884 852 
885 886 918 
918 917 885 
918 919 951 
951 950 918 
951 952 984 
984 983 951 
984 985 1017 
1017 1016 984 
1017 1018 1050 
1050 1049 1017 
1050 1051 1083 
1083 1082 1050 
28 29 61 
61 60 28 
61 62 94 
94 93 61 
94 95 127 
127 126 94 
127 128 160 
160 159 127 
160 161 193 
193 192 160 
193 194 226 
226 225 193 
226 227 259 
259 258 226 
259 260 292 
292 291 259 
292 293 325 
325 324 292 
325 326 358 
358 357 325 
358 359 391 
391 390 358 
391 392 424 
424 423 391 
424 425 457 
457 456 424 
457 458 490 
490 489 457 
490 491 523 
523 522 490 
523 524 556 
556 555 523 
556 557 589 
589 588 556 
589 590 622 
622 621 589 
622 623 655 
655 654 622 
655 656 688 
688 687 655 
688 689 721 
721 720 688 
721 722 754 
754 753 721 
754 755 787 
787 786 754 
787 788 820 
820 819 787 
820 821 853 
853 852 820 
853 854 886 
886 885 853 
886 887 919 
919 918 886 
919 920 952 
952 951 919 
952 953 985 
985 984 952 
985 986 1018 
1018 1017 985 
1018 1019 1051 
1051 1050 1018 
1051 1052 1084 
1084 1083 1051 
29 30 62 
62 61 29 
62 63 95 
95 94 62 
95 96 128 
128 127 95 
128 129 161 
161 160 128 
161 162 194 
194 193 161 
194 195 227 
227 226 194 
227 228 260 
260 259 227 
260 261 293 
293 292 260 
293 294 326 
326 325 293 
326 327 359 
359 358 326 
359 360 392 
392 391 359 
392 393 425 
425 424 392 
425 426 458 
458 457 425 
458 459 491 
491 490 458 
491 492 524 
524 523 491 
524 525 557 
557 556 524 
557 558 590 
590 589 557 
590 591 623 
623 622 590 
623 624 656 
656 655 623 
656 657 689 
689 688 656 
689 690 722 
722 721 689 
722 723 755 
755 754 722 
755 756 788 
788 787 755 
788 789 821 
821 820 788 
821 822 854 
854 853 821 
854 855 887 
887 886 854 
887 888 920 
920 919 887 
920 921 953 
953 952 920 
953 954 986 
986 985 953 
986 987 1019 
1019 1018 986 
1019 1020 1052 
1052 1051 1019 
1052 1053 1085 
1085 1084 1052 
30 31 63 
63 62 30 
63 64 96 
96 95 63 
96 97 129 
129 128 96 
129 130 162 
162 161 129 
162 163 195 
195 194 162 
195 196 228 
228 227 195 
228 229 261 
261 260 228 
261 262 294 
294 293 261 
294 295 327 
327 326 294 
327 328 360 
360 359 327 
360 361 393 
393 392 360 
393 394 426 
426 425 393 
426 427 459 
459 458 426 
459 460 492 
492 491 459 
492 493 525 
525 524 492 
525 526 558 
558 557 525 
558 559 591 
591 590 558 
591 592 624 
624 623 591 
624 625 657 
657 656 624 
657 658 690 
690 689 657 
690 691 723 
723 722 690 
723 724 756 
756 755 723 
756 757 789 
789 788 756 
789 790 822 
822 821 789 
822 823 855 
855 854 822 
855 856 888 
888 887 855 
888 889 921 
921 920 888 
921 922 954 
954 953 921 
954 955 987 
987 986 954 
987 988 1020 
1020 1019 987 
1020 1021 1053 
1053 1052 1020 
1053 1054 1086 
1086 1085 1053 
31 32 64 
64 63 31 
64 65 97 
97 96 64 
97 98 130 
130 129 97 
130 131 163 
163 162 130 
163 164 196 
196 195 163 
196 197 229 
229 228 196 
229 230 262 
262 261 229 
262 263 295 
295 294 262 
295 296 328 
328 327 295 
328 329 361 
361 360 328 
361 362 394 
394 393 361 
394 395 427 
427 426 394 
427 428 460 
460 459 427 
460 461 493 
493 492 460 
493 494 526 
526 525 493 
526 527 559 
559 558 526 
559 560 592 
592 591 559 
592 593 625 
625 624 592 
625 626 658 
658 657 625 
658 659 691 
691 690 658 
691 692 724 
724 723 691 
724 725 757 
757 756 724 
757 758 790 
790 789 757 
790 791 823 
823 822 790 
823 824 856 
856 855 823 
856 857 889 
889 888 856 
889 890 922 
922 921 889 
922 923 955 
955 954 922 
955 956 988 
988 987 955 
988 989 1021 
1021 1020 988 
1021 1022 1054 
1054 1053 1021 
1054 1055 1087 
1087 1086 1054 
32 33 65 
65 64 32 
65 66 98 
98 97 65 
98 99 131 
131 130 98 
131 132 164 
164 163 131 
164 165 197 
197 196 164 
197 198 230 
230 229 197 
230 231 263 
263 262 230 
263 264 296 
296 295 263 
296 297 329 
329 328 296 
329 330 362 
362 361 329 
362 363 395 
395 394 362 
395 396 428 
428 427 395 
428 429 461 
461 460 428 
461 462 494 
494 493 461 
494 495 527 
527 526 494 
527 528 560 
560 559 527 
560 561 593 
593 592 560 
593 594 626 
626 625 593 
626 627 659 
659 658 626 
659 660 692 
692 691 659 
692 693 725 
725 724 692 
725 726 758 
758 757 725 
758 759 791 
791 790 758 
791 792 824 
824 823 791 
824 825 857 
857 856 824 
857 858 890 
890 889 857 
890 891 923 
923 922 890 
923 924 956 
956 955 923 
956 957 989 
989 988 956 
989 990 1022 
1022 1021 989 
1022 1023 1055 
1055 1054 1022 
1055 1056 1088 
1088 1087 1055 
33 34 66 
66 65 33 
66 67 99 
99 98 66 
99 100 132 
132 131 99 
132 133 165 
165 164 132 
165 166 198 
198 197 165 
198 199 231 
231 230 198 
231 232 264 
264 263 231 
264 265 297 
297 296 264 
297 298 330 
330 329 297 
330 331 363 
363 362 330 
363 364 396 
396 395 363 
396 397 429 
429 428 396 
429 430 462 
462 461 429 
462 463 495 
495 494 462 
495 496 528 
528 527 495 
528 529 561 
561 560 528 
561 562 594 
594 593 561 
594 595 627 
627 626 594 
627 628 660 
660 659 627 
660 661 693 
693 692 660 
693 694 726 
726 725 693 
726 727 759 
759 758 726 
759 760 792 
792 791 759 
792 793 825 
825 824 792 
825 826 858 
858 857 825 
858 859 891 
891 890 858 
891 892 924 
924 923 891 
924 925 957 
957 956 924 
957 958 990 
990 989 957 
990 991 1023 
1023 1022 990 
1023 1024 1056 
1056 1055 1023 
1056 1057 1089 
1089 1088 1056 
34 35 67 
67 66 34 
67 68 100 
100 99 67 
100 101 133 
133 132 100 
133 134 166 
166 165 133 
166 167 199 
199 198 166 
199 200 232 
232 231 199 
232 233 265 
265 264 232 
265 266 298 
298 297 265 
298 299 331 
331 330 298 
331 332 364 
364 363 331 
364 365 397 
397 396 364 
397 398 430 
430 429 397 
430 431 463 
463 462 430 
463 464 496 
496 495 463 
496 497 529 
529 528 496 
529 530 562 
562 561 529 
562 563 595 
595 594 562 
595 596 628 
628 627 595 
628 629 661 
661 660 628 
661 662 694 
694 693 661 
694 695 727 
727 726 694 
727 728 760 
760 759 727 
760 761 793 
793 792 760 
793 794 826 
826 825 793 
826 827 859 
859 858 826 
